,hormaechei-steigerwaltii-1,roggenkampii,hormaechei-hoffmannii-1,unchar-1,ludwigii,hormaechei-xiangfangensis,asburiae,kobei,cloacae,hormaechei-oharae,hormaechei-steigerwaltii-2,hormaechei-steigerwaltii-3,unchar-2,hormaechei-hormaechei,unchar-3,bugandensis,cancerogenous,unchar-4,hormaechei-hoffmannii-2
Ebacter_C15853,0.0,0.7547530628279874,0.0,0.004850376394049266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000648546446207671,0.0,0.011947691288743139,0.0,0.0,0.0,0.0
Ebacter_C51247,0.0,0.0,0.003494377754521739,0.0,0.0,0.0,0.0,0.0,0.006321849929616881,0.0,0.0,0.011767307265383276,1.0140867370744069,0.0005390929598003606,0.0,0.0,0.0,0.0,0.0
Ebacter_C100996,0.26140149206654917,0.002661075679252418,0.8164747973918173,0.04488528326221704,0.0,0.0,0.0,0.013001438564065581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08620259748807614,0.5715628978366276
Ebacter_C20249,0.0,0.9729148663196552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023354219027222787,0.0,0.0,0.0,0.0
Ebacter_C95262,0.0,0.20901441029140547,0.0,0.0,0.0,0.0,0.0,0.968092463488777,0.6613713955410283,0.0,0.0,0.0,0.0,0.0,0.03009783892480752,0.0,0.0,0.01056980217593618,0.0
Ebacter_C86433,0.37088589079654416,0.0,0.0,0.0,0.0,0.0,0.0,0.03511014434051359,0.002121716865440941,0.0,0.9682142129098403,0.12425151322712602,0.0,0.0,0.011490263144186805,0.016098380986552786,0.010019324540299869,0.0,0.0
Ebacter_C22740,0.0,0.12286821236079613,0.1409281490551019,0.9232852714863407,0.0,0.08131640521289836,0.020085482089418023,0.07516152042513044,0.02902087534869842,0.0,0.0,0.02971240281902632,0.0,0.35845437465662905,0.6781070082984673,0.00022996623356535313,0.0,0.0,0.0
Ebacter_C41394,0.0,0.9715715340194434,0.0,0.0,0.0,0.0,0.6877815130587575,0.988580135578471,0.7854466892483524,0.0,0.0,0.0,0.0,0.0,0.0,0.9982621161375496,0.07127551689119022,0.004225103009311458,0.0
Ebacter_C58421,0.0,0.7790577455582186,0.0,0.006726274887124096,0.9936426325878658,0.0,0.7914084225169749,0.8535017957753779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ebacter_C5058,0.14133930254701202,0.0,0.0,0.0,0.043196510619735166,0.0,0.0,0.0,0.17140653058849656,0.0,0.0,0.15082448417751224,0.03659685848587365,0.0,0.19021925509267743,0.0,0.3337287469294443,0.078310071758737,0.22857466632884155
Ebacter_C5052,0.0,0.9925460044958443,0.0,0.0,0.9474744801261481,0.0,0.9169289482626609,0.989520426455358,0.6573184712816613,0.0,0.0,0.0,0.0,0.0,0.018845004564796937,0.8729352477179195,0.0,0.006471539183746526,0.0
Ebacter_C54177,0.0,0.15135584082611242,0.010302020236918383,0.0,0.0,0.0,0.6530759639844743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01222903485391086,0.0,0.14649748080385863,0.0,0.034879960599354484
