genome_id,genome_name,taxon_id,genome_status,strain,completion_date,bioproject_accession,biosample_accession,assembly_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosomes,plasmids,contigs,genome_length,gc_content,patric_cds,refseq_cds,isolation_source,collection_date,isolation_country,geographic_location,host_name,comments,additional_metadata,complete_mash_cluster,mlst,phylon,mobile_phylons
158836.809,Enterobacter hormaechei strain RHBSTW-00198,158836,Complete,RHBSTW-00198,2020-07-27T00:00:00Z,PRJNA605147,SAMN15148534,GCA_013744415.1,"CP056756,CP056757,CP056758,CP056759",University of Oxford,Complete,Hybrid: Illumina and PACBIO_SMRT,107.202796037712x,Unicycler v. v0.4.7,1,3,4,4861737,55.46306,4721,4561,Freshwater sample from downstream of wastewater treatment plant,2017,United Kingdom,United Kingdom,,"These isolates represent a dataset assembled by the REHAB team: A collaborative effort between the Animal and Plant Health Agency, the UK Centre for Ecology &amp\; Hydrology, Thames Water, Public Health England, and the University of Oxford. The focus of this study is on understanding bacterial diversity in four important clinical genera (Escherichia, Klebsiella, Enterobacter and Citrobacter), and strain, MGE and resistance gene flow amongst environmental and farm animal reservoirs, and in rivers around sewage treatment plants, in Oxfordshire, UK, in 2017.","sample_type:culture;biomaterial_provider:Modernising Medical Microbiology on behalf of the REHAB Consortium, Level 7, John Radcliffe Hospital, Oxford, OX3 9DU, UK",3.0,-1,hormaechei-oharae,
550.1141,Enterobacter cloacae strain AR_0163,550,Complete,AR_0163,2017-06-13T00:00:00Z,PRJNA292902,SAMN04015004,GCA_002192355.1,"CP021749,CP021750",Centers for Disease Control and Prevention,Complete,PacBio RSII,165x,canu v. 1.3,1,1,2,5215817,54.9,5114,4983,,,,,,Collection of bacterial pathogens that consist of carbapenemase-producing Enterobacteriaceae representing a diversity of species,,6.0,88,hormaechei-steigerwaltii-1,unchar-1
1686399.7,Enterobacter sp. BIDMC100 strain Colony289,1686399,Complete,Colony289,2021-07-28T00:00:00Z,PRJNA668870,SAMN17833503,GCA_019378815.1,CP079997,Ministry of Public Health-Thailand,Complete,Illumina HiSeq,87.69x,idba_ud v. V1.1.3,1,0,1,4546640,56.168278,3922,,food,,Thailand,Thailand: Bangkok,,Establishment capacity for Whole genome Sequencing for food-borne outbreaks in Thailand,"collected_by:Department of Disease Control, Ministry of Public Health",6.0,-1,,
1296536.241,Enterobacter hormaechei subsp. xiangfangensis Eh8322_LBHALD,1296536,Complete,Eh8322_LBHALD,2023-07-16T00:00:00Z,PRJNA992103,SAMN36341330,,"CP129636,CP129637,CP129638",,,Illumina,70.0x,SPAdes v. 3.15.4,1,2,3,4705594,55.261566,4636,4505,Leg pus,2018-04-21,Senegal,Senegal: Dakar,Homo sapiens,,collected_by:Bacteriology laboratory of Aristide Le Dantec National University teaching hospital in Dakar Senegal,9.0,-1,hormaechei-xiangfangensis,
550.3830,Enterobacter cloacae P7536,550,Complete,P7536,2022-07-05T00:00:00Z,PRJNA713617,SAMN18256316,GCA_024138875.1,"CP071792,CP071791,CP071788,CP071789,CP071790",,Complete,Illumina MiSeq; Oxford Nanopore MinION,20.0x,SPAdes v. May 2020,1,4,5,5569846,54.569534,5673,5365,rectal swab,2018,France,France: Marseille,Homo sapiens,,collected_by:IHU Mediterranee Infection,9.0,98,hormaechei-xiangfangensis,unchar-1;unchar-4
1812935.464,Enterobacter roggenkampii WS28-4,1812935,Complete,WS28-4,2023-04-03T00:00:00Z,PRJNA895843,SAMN31525273,,CP110534,,,Illumina NovaSeq; Oxford Nanopore,662.0x,unicycler v. v0.4.8,1,0,1,4689724,56.01172,4406,4306,natural water sources close by farm or community,2022-05-01,Thailand,Thailand: Ratchaburi,,,collected_by:Chulalongkorn University,12.0,1594,roggenkampii,
1333851.3,Enterobacter cloacae ECNIH3,1333851,Complete,ECNIH3,2014-09-09T00:00:00Z,PRJNA202894,SAMN02713683,GCA_000750225.1,"CP008897.1,CP008901.1,CP008898.1,CP008900.1,CP008899.1",NISC,Complete,Pacific Biosciences RS II,170x,HGAP v. 2,1,1,5,5061388,54.5891,4695,4559,tracheal aspirate,2011,USA,United States,"Human, Homo sapiens",Whole genome sequencing of Enterobacter cloacae.,,2.0,97,hormaechei-hoffmannii-2,unchar-1
208224.404,Enterobacter kobei SCLZS19,208224,Complete,SCLZS19,2022-11-20T00:00:00Z,PRJNA899984,SAMN31675492,,"CP110873,CP110874,CP110880,CP110882,CP110875,CP110876,CP110877,CP110878,CP110881,CP110879",,,Oxford Nanopore; Illumina,200.0x,Unicycler v. 0.4.9,1,9,10,5574492,54.09345,5709,5421,no,2019-08,China,China:Luzhou,,,,10.0,122,kobei,
158836.2021,Enterobacter hormaechei strain 1074,158836,Complete,1074,2022-09-04T00:00:00Z,PRJNA836696,SAMN28173991,GCA_024917315.1,"CP103674,CP103675",University of Texas MD Anderson Cancer Center,,Oxford Nanopore GridION,176x,Flye v. 2.8.3-b1695,1,1,2,4764181,55.552822,4535,4424,blood,2017-12-29,USA,USA: Houston,Homo sapiens,Repository of genomic data for carbapenem non-susceptible Enterobacterales infections at the University of Texas MD Anderson Cancer Center.,collected_by:MDACC,6.0,1044,hormaechei-steigerwaltii-1,
158836.2356,Enterobacter hormaechei RHB45-SO-C08,158836,Complete,RHB45-SO-C08,2023-04-13T00:00:00Z,PRJNA605147,SAMN15488704,,"CP099323,CP099324",,,Illumina/Nanopore,137x,Unicycler v. v0.4.4,1,1,2,4538372,55.385784,4267,4174,Pooled soil sample collected from floor of poultry farm,2017,United Kingdom,United Kingdom,,,"sample_type:culture;biomaterial_provider:Modernising Medical Microbiology on behalf of the REHAB Consortium, Level 7, John Radcliffe Hospital, Oxford, OX3 9DU, UK",2.0,327,,
